problem,basis_file,n,nnz_A,exit_frac,K,exit_col_orig,density,seed,t_baseline,t_push,t_ref_solve,t_update,t_refactor,t_solve_upd,t_solve_ref,total_upd_solve,total_ref_solve,speedup_upd_only,speedup_with_solve,det_bits,solve_match,nnz_L_upd,nnz_U_upd
scsd1_Bases,basis_k0_B.txt,77,225,0.10,7,70,0.50,42,0.001908,0.000501,0.000263,0.000764,0.001784,0.000692,0.000691,0.001456,0.002475,2.3351,1.6999,2015,1,217,378
scsd1_Bases,basis_k0_B.txt,77,225,0.90,69,10,0.05,42,0.001908,0.000299,0.000085,0.000384,0.001548,0.000642,0.000618,0.001026,0.002166,4.0312,2.1111,2012,1,222,336
scsd1_Bases,basis_k0_B.txt,77,225,0.90,69,10,0.50,42,0.001908,0.000293,0.000256,0.000549,0.001731,0.000733,0.000731,0.001282,0.002462,3.1530,1.9204,2015,1,222,380
scsd1_Bases,basis_k1_B.txt,77,223,0.10,7,70,0.50,42,0.001870,0.000496,0.000328,0.000824,0.001966,0.000693,0.000682,0.001517,0.002648,2.3859,1.7456,2015,1,263,365
cycle_Bases,basis_k0_B.txt,1903,8496,0.10,190,471,0.05,42,2.096790,0.579752,0.067610,0.647362,2.154264,0.003038,0.003006,0.650400,2.157270,3.3278,3.3168,31682,1,4499,11216
cycle_Bases,basis_k0_B.txt,1903,8496,0.10,190,471,0.50,42,2.096790,0.573265,0.172729,0.745994,2.406078,0.003202,0.003081,0.749196,2.409159,3.2253,3.2157,31683,1,4499,12136
cycle_Bases,basis_k0_B.txt,1903,8496,0.90,1712,723,0.05,42,2.096790,0.298330,0.071652,0.369982,2.231922,0.003043,0.003047,0.373025,2.234969,6.0325,5.9915,31681,1,4836,11440
cycle_Bases,basis_k0_B.txt,1903,8496,0.90,1712,723,0.50,42,2.096790,0.290048,0.176341,0.466389,2.301538,0.003003,0.003068,0.469392,2.304606,4.9348,4.9098,31683,1,4836,12360
nesm_Bases,basis_k0_B.txt,662,2031,0.10,66,41,0.05,42,0.235775,0.072673,0.009410,0.082083,0.245831,0.075808,0.075980,0.157891,0.321811,2.9949,2.0382,18156,1,1632,3086
nesm_Bases,basis_k0_B.txt,662,2031,0.10,66,41,0.50,42,0.235775,0.072303,0.032108,0.104411,0.270097,0.078673,0.078913,0.183084,0.349010,2.5869,1.9063,18155,1,1632,3456
nesm_Bases,basis_k0_B.txt,662,2031,0.90,595,384,0.05,42,0.235775,0.042564,0.009595,0.052159,0.251291,0.075682,0.075905,0.127841,0.327196,4.8178,2.5594,18160,1,1682,3141
nesm_Bases,basis_k0_B.txt,662,2031,0.90,595,384,0.50,42,0.235775,0.042477,0.031982,0.074459,0.275311,0.080149,0.081194,0.154608,0.356505,3.6975,2.3059,18160,1,1682,3512
nesm_Bases,basis_k1_B.txt,662,2029,0.10,66,38,0.05,42,0.250533,0.093095,0.010072,0.103167,0.259046,0.078152,0.077649,0.181319,0.336695,2.5109,1.8569,18157,1,1674,3157
nesm_Bases,basis_k1_B.txt,662,2029,0.10,66,38,0.50,42,0.250533,0.091073,0.034609,0.125682,0.285576,0.082842,0.081633,0.208524,0.367209,2.2722,1.7610,18158,1,1674,3523
nesm_Bases,basis_k1_B.txt,662,2029,0.90,595,384,0.05,42,0.250533,0.043242,0.009988,0.053230,0.275629,0.076892,0.078038,0.130122,0.353667,5.1781,2.7180,18160,1,1699,3219
nesm_Bases,basis_k1_B.txt,662,2029,0.90,595,384,0.50,42,0.250533,0.043264,0.032455,0.075719,0.301306,0.083060,0.085611,0.158779,0.386917,3.9793,2.4368,18160,1,1699,3586
dano3_3_LP_Bases,basis_k0_B.txt,3202,14091,0.10,320,2679,0.05,42,380.911904,7.629370,2.645561,10.274931,353.168863,5.278694,5.065801,15.553625,358.234664,34.3719,23.0322,27292,1,83347,101897
dano3_3_LP_Bases,basis_k0_B.txt,3202,14091,0.10,320,2679,0.50,42,380.911904,7.318159,4.109138,11.427297,360.018336,5.766376,5.571222,17.193673,365.589558,31.5051,21.2630,27293,1,83347,103338
dano3_3_LP_Bases,basis_k0_B.txt,3202,14091,0.90,2881,455,0.05,42,380.911904,5.131507,2.648620,7.780127,379.610992,5.307834,5.130285,13.087961,384.741277,48.7924,29.3966,27299,1,230522,309408
dano3_3_LP_Bases,basis_k0_B.txt,3202,14091,0.90,2881,455,0.50,42,380.911904,5.311810,4.134481,9.446291,381.490290,5.603269,5.471159,15.049560,386.961449,40.3852,25.7125,27298,1,230522,310849
dano3_3_LP_Bases,basis_k1_B.txt,3202,14094,0.10,320,2679,0.05,42,346.196427,7.935305,2.762875,10.698180,336.856961,5.414935,5.294419,16.113115,342.151380,31.4873,21.2343,27292,1,87920,103430
dano3_3_LP_Bases,basis_k1_B.txt,3202,14094,0.10,320,2679,0.50,42,346.196427,7.637258,4.324404,11.961662,364.036941,6.044575,5.746869,18.006237,369.783810,30.4336,20.5364,27293,1,87920,104862
dano3_3_LP_Bases,basis_k1_B.txt,3202,14094,0.90,2881,199,0.05,42,346.196427,4.089734,2.716131,6.805865,346.586998,5.370949,5.356013,12.176814,351.943011,50.9248,28.9027,27284,1,251461,341743
dano3_3_LP_Bases,basis_k1_B.txt,3202,14094,0.90,2881,199,0.50,42,346.196427,4.015374,4.280862,8.296236,349.390427,5.643033,5.625102,13.939269,355.015529,42.1143,25.4687,27286,1,251461,343176
