x,speedup,nnz_change
1,2.72,+48
2,2.96,+52
3,2.69,+59
4,2.68,+60
5,2.30,+86
6,2.93,+40
7,2.90,+44
8,3.01,+37
9,2.83,-9
10,2.87,+34
11,2.89,+36
12,2.95,+35
13,3.02,+28
14,2.37,+31
15,2.28,+32
16,2.36,+23
17,2.88,+30
18,2.87,+31
19,2.90,+28
20,2.82,+22
21,3.20,+36
22,2.94,+41
23,3.07,+40
24,2.91,+41
25,3.00,+40
26,3.00,+47
27,3.00,+41
28,3.06,+39
29,3.15,+38
30,3.07,+38
31,3.07,+37
32,3.15,+35
33,3.02,+35
34,2.97,+37
35,3.03,+40
36,2.82,+43
37,2.89,+47
38,3.60,+67
39,3.83,+66
40,3.60,+67
41,3.56,+71
42,3.50,+64
43,3.26,+55
44,3.64,+62
45,3.61,+63
46,3.62,+63
47,3.63,+65
48,3.27,+66
49,2.90,+43
50,2.85,+36
51,3.17,+38
52,3.11,+42
53,2.82,+48
54,2.82,+50
55,3.19,+35
56,3.18,+36
57,3.14,+38
58,3.13,+38
59,3.20,+37
60,3.01,+40
61,3.22,+26
62,5.63,+946
63,3.21,+31
64,3.30,+30
65,3.60,+66
66,3.59,+66
67,3.60,+65
68,3.62,+62
69,3.60,+63
70,3.18,+2
71,3.32,+30
72,3.25,+29
73,4.62,+974
74,4.60,+486
75,3.61,+60
76,3.10,+32
77,3.15,+36
78,3.12,+30
79,3.18,+36
80,2.86,+38
81,2.81,-10
82,3.00,+43
83,3.04,+41
84,3.11,+38
85,3.14,+36
86,3.49,+39
87,3.30,+47
88,3.09,+45
89,3.20,+53
90,3.09,+41
91,3.08,+41
92,3.11,+39
93,3.09,+39
94,2.56,+36
95,2.69,+98
96,2.77,+42
97,2.37,+28
98,2.84,+68
99,2.21,+18
100,2.55,+20
102,2.49,+23
103,2.63,+24
104,2.67,+32
105,2.99,+29
106,2.71,+32
107,2.91,+31
108,3.08,+30
109,2.67,+31
110,2.56,+31
